,Year,Manufacturer,Model,barrels08,charge240,cityA08U,cityCD,cityE,cityUF,co2A,combA08U,combE,combinedCD,combinedUF,cylinders,feScore,fuelCostA08,fuelType2,ghgScoreA,highwayA08U,highwayCD,highwayE,highwayUF,id,phevBlended,charge240b
0,2017,Kia,Soul Electric,0.0768,4.0,119.0,0.0,28.0,0.0,0.0,105.0,31.0,0.0,0.0,,10,650.0,Electricity,10,92.0,0.0,36.0,0.0,38168,False,0.0
1,2017,Hyundai,Ioniq Electric,0.06,4.0,150.0,0.0,22.0,0.0,0.0,136.0,25.0,0.0,0.0,,10,500.0,Electricity,10,122.0,0.0,28.0,0.0,38431,False,0.0
2,2017,Ford,Focus Electric,0.0744,5.0,118.0,0.0,28.0,0.0,0.0,107.0,31.0,0.0,0.0,,10,650.0,Electricity,10,95.0,0.0,35.0,0.0,38505,False,0.0
3,2018,Nissan,Leaf,0.072,8.0,125.0,0.0,26.0,0.0,0.0,112.0,30.0,0.0,0.0,,10,650.0,Electricity,10,99.0,0.0,33.0,0.0,39860,False,0.0
4,2019,Hyundai,Ioniq Electric,0.06,4.0,150.0,0.0,22.0,0.0,0.0,136.0,25.0,0.0,0.0,,10,500.0,Electricity,10,122.0,0.0,28.0,0.0,40384,False,0.0
5,2019,Nissan,Leaf (40 kW-hr battery pack),0.072,8.0,124.0,0.0,27.0,0.0,0.0,111.0,30.0,0.0,0.0,,10,650.0,Electricity,10,99.0,0.0,33.0,0.0,40812,False,0.0
6,2019,Tesla,Model 3 Long Range AWD,0.0696,10.0,120.0,0.0,27.0,0.0,0.0,116.0,28.0,0.0,0.0,,10,600.0,Electricity,10,111.0,0.0,30.0,0.0,41190,False,8.0
7,2019,Tesla,Model 3 Standard Range Plus,0.06,9.0,140.0,0.0,24.0,0.0,0.0,132.0,25.0,0.0,0.0,,10,550.0,Electricity,10,124.0,0.0,27.0,0.0,41416,False,0.0
8,2020,Chevrolet,Bolt EV,0.0696,10.0,127.0,0.0,26.0,0.0,0.0,117.0,28.0,0.0,0.0,,10,600.0,Electricity,10,107.0,0.0,31.0,0.0,42191,False,0.0
9,2020,Hyundai,Ioniq Electric,0.06,5.0,144.0,0.0,23.0,0.0,0.0,132.0,25.0,0.0,0.0,,10,550.0,Electricity,10,120.0,0.0,27.0,0.0,42273,False,0.0
10,2020,Tesla,Model 3 Long Range AWD,0.0672,10.0,124.0,0.0,27.0,0.0,0.0,120.0,27.0,0.0,0.0,,10,600.0,Electricity,10,116.0,0.0,28.0,0.0,42275,False,8.0
11,2020,Tesla,Model 3 Long Range Performance AWD (18in),0.0672,10.0,124.0,0.0,27.0,0.0,0.0,121.0,28.0,0.0,0.0,,10,600.0,Electricity,10,116.0,0.0,29.0,0.0,42279,False,8.0
12,2020,Nissan,Leaf (62 kW-hr battery pack),0.0744,11.0,117.0,0.0,28.0,0.0,0.0,107.0,31.0,0.0,0.0,,10,650.0,Electricity,10,97.0,0.0,34.0,0.0,42562,False,0.0
13,2021,Ford,Mustang Mach-E RWD,0.0816,8.0,105.0,0.0,32.0,0.0,0.0,99.0,33.0,0.0,0.0,,10,700.0,Electricity,10,93.0,0.0,36.0,0.0,43604,False,0.0
14,2021,Nissan,Leaf (62 kW-hr battery pack),0.0744,11.0,117.0,0.0,28.0,0.0,0.0,107.0,31.0,0.0,0.0,,10,650.0,Electricity,10,97.0,0.0,34.0,0.0,43665,False,0.0
15,2021,Ford,Mustang Mach-E RWD California Route 1,0.0792,11.0,107.0,0.0,31.0,0.0,0.0,101.0,33.0,0.0,0.0,,10,700.0,Electricity,10,93.0,0.0,35.0,0.0,43683,False,0.0
16,2021,Tesla,Model 3 Standard Range Plus RWD,0.0576,7.0,150.0,0.0,22.0,0.0,0.0,141.0,23.0,0.0,0.0,,10,500.0,Electricity,10,133.0,0.0,25.0,0.0,43821,False,6.0
17,2022,Porsche,Taycan Turbo S,0.1152,10.0,69.0,0.0,48.0,0.0,0.0,70.0,48.0,0.0,0.0,,10,1000.0,Electricity,10,71.0,0.0,47.0,0.0,44792,False,0.0
18,2021,Ford,Mustang Mach-E GT Performance,0.0984,10.0,88.0,0.0,38.0,0.0,0.0,81.0,41.0,0.0,0.0,,10,850.0,Electricity,10,75.0,0.0,44.0,0.0,44798,False,0.0
19,2022,Kia,EV6 AWD (Long Range),0.0768,8.0,116.0,0.0,28.0,0.0,0.0,105.0,31.0,0.0,0.0,,10,650.0,Electricity,10,94.0,0.0,36.0,0.0,44925,False,0.0
20,2022,Tesla,Model 3 Long Range AWD,0.0624,11.0,134.0,0.0,25.0,0.0,0.0,130.0,25.0,0.0,0.0,,10,550.0,Electricity,10,126.0,0.0,26.0,0.0,45011,False,9.0
21,2022,Porsche,Taycan GTS,0.0984,10.0,83.0,0.0,40.0,0.0,0.0,82.0,40.0,0.0,0.0,,10,850.0,Electricity,10,82.0,0.0,40.0,0.0,45715,False,0.0
22,2023,Chevrolet,Bolt EV,0.0672,7.0,130.0,0.0,25.0,0.0,0.0,119.0,28.0,0.0,0.0,,10,600.0,Electricity,10,108.0,0.0,30.0,0.0,45751,False,0.0
23,2023,Kia,EV6 Long Range AWD (20 inch tires),0.0816,8.0,108.0,0.0,31.0,0.0,0.0,98.0,34.0,0.0,0.0,,10,700.0,Electricity,10,88.0,0.0,38.0,0.0,46005,False,0.0
24,2023,Kia,EV6 Long Range RWD,0.0672,8.0,138.0,0.0,24.0,0.0,0.0,120.0,28.0,0.0,0.0,,10,600.0,Electricity,10,103.0,0.0,32.0,0.0,46006,False,0.0
25,2023,Nissan,ARIYA VENTURE Plus FWD 87kWh,0.0792,14.0,110.0,0.0,30.0,0.0,0.0,103.0,32.0,0.0,0.0,,10,700.0,Electricity,10,94.0,0.0,35.0,0.0,46015,False,0.0
26,2023,Nissan,LEAF,0.072,8.0,122.0,0.0,27.0,0.0,0.0,110.0,30.0,0.0,0.0,,10,650.0,Electricity,10,98.0,0.0,34.0,0.0,46016,False,0.0
27,2023,Nissan,LEAF SV,0.0744,11.0,121.0,0.0,27.0,0.0,0.0,109.0,30.0,0.0,0.0,,10,650.0,Electricity,10,98.0,0.0,34.0,0.0,46017,False,0.0
28,2023,Porsche,Taycan GTS,0.0984,10.0,83.0,0.0,40.0,0.0,0.0,82.0,40.0,0.0,0.0,,10,850.0,Electricity,10,82.0,0.0,40.0,0.0,46022,False,0.0
29,2023,Porsche,Taycan Perf Battery Plus,0.0984,10.0,77.0,0.0,43.0,0.0,0.0,81.0,41.0,0.0,0.0,,10,850.0,Electricity,10,87.0,0.0,38.0,0.0,46024,False,0.0
30,2023,Porsche,Taycan Turbo S,0.108,10.0,76.0,0.0,43.0,0.0,0.0,75.0,44.0,0.0,0.0,,10,950.0,Electricity,10,74.0,0.0,45.0,0.0,46028,False,0.0
31,2023,Tesla,Model 3 RWD,0.06,10.0,137.0,0.0,24.0,0.0,0.0,132.0,25.0,0.0,0.0,,10,550.0,Electricity,10,126.0,0.0,26.0,0.0,46206,False,0.0
32,2012,Nissan,Leaf,0.0816,7.0,0.0,0.0,32.0,0.0,0.0,0.0,34.0,0.0,0.0,,-1,700.0,Electricity,-1,0.0,0.0,37.0,0.0,32154,False,0.0
33,2015,Ford,Focus Electric,0.0768,3.0,110.0,0.0,31.0,0.0,0.0,104.0,32.0,0.0,0.0,,10,650.0,Electricity,10,98.0,0.0,34.0,0.0,35970,False,0.0
34,2016,Mercedes-Benz,B250e,0.096,3.0,85.0,0.0,39.0,0.0,0.0,83.0,40.0,0.0,0.0,,10,850.0,Electricity,10,81.0,0.0,41.0,0.0,36997,False,0.0
35,2017,Honda,Clarity EV,0.072,4.0,125.0,0.0,27.0,0.0,0.0,114.0,30.0,0.0,0.0,,10,650.0,Electricity,10,102.0,0.0,33.0,0.0,39191,False,0.0
36,2018,Chevrolet,Bolt EV,0.0672,9.0,127.0,0.0,26.0,0.0,0.0,119.0,28.0,0.0,0.0,,10,600.0,Electricity,10,110.0,0.0,30.0,0.0,39786,False,0.0
37,2018,Tesla,Model 3 Long Range  AWD,0.0696,10.0,120.0,0.0,27.0,0.0,0.0,116.0,28.0,0.0,0.0,,10,600.0,Electricity,10,111.0,0.0,30.0,0.0,40385,False,8.0
38,2018,Tesla,Model 3 Mid Range,0.0648,10.0,127.0,0.0,26.0,0.0,0.0,122.0,27.0,0.0,0.0,,10,600.0,Electricity,10,116.0,0.0,28.0,0.0,41056,False,8.0
39,2020,Tesla,Model 3 Standard Range,0.0624,8.0,138.0,0.0,24.0,0.0,0.0,131.0,25.0,0.0,0.0,,10,550.0,Electricity,10,123.0,0.0,27.0,0.0,42277,False,0.0
40,2020,Tesla,Model 3 Long Range Performance AWD (20in),0.072,10.0,117.0,0.0,28.0,0.0,0.0,112.0,29.0,0.0,0.0,,10,650.0,Electricity,10,107.0,0.0,31.0,0.0,42281,False,8.0
41,2020,Kia,Niro Electric,0.072,9.0,123.0,0.0,27.0,0.0,0.0,112.0,30.0,0.0,0.0,,10,650.0,Electricity,10,101.0,0.0,33.0,0.0,42514,False,0.0
42,2020,Nissan,Leaf SV/SL (62 kW-hr battery pack),0.0768,11.0,114.0,0.0,29.0,0.0,0.0,104.0,32.0,0.0,0.0,,10,700.0,Electricity,10,94.0,0.0,35.0,0.0,42563,False,0.0
43,2020,Kia,Soul Electric,0.0696,9.0,127.0,0.0,25.0,0.0,0.0,114.0,29.0,0.0,0.0,,10,600.0,Electricity,10,101.0,0.0,33.0,0.0,43412,False,0.0
44,2021,Ford,Mustang Mach-E AWD Extended,0.0888,10.0,96.0,0.0,34.0,0.0,0.0,90.0,37.0,0.0,0.0,,10,800.0,Electricity,10,83.0,0.0,40.0,0.0,43603,False,0.0
45,2021,Nissan,Leaf (40 kW-hr battery pack),0.072,8.0,122.0,0.0,27.0,0.0,0.0,110.0,30.0,0.0,0.0,,10,650.0,Electricity,10,98.0,0.0,34.0,0.0,43664,False,0.0
